,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
66,Olonets,68,RU,03/24/2019,76,30.0,60.98,32.97,6.17
67,Carnarvon,0,ZA,03/24/2019,51,61.14,-30.97,22.13,9.98
68,Kavaratti,0,IN,03/24/2019,100,83.1,10.57,72.64,2.93
69,Hermanus,64,ZA,03/24/2019,96,66.0,-34.42,19.24,2.37
70,Abu Samrah,0,SY,03/24/2019,79,44.58,35.3,37.18,5.61
71,Lakeway,1,US,03/24/2019,47,82.99,30.36,-97.99,9.17
72,Georgetown,40,GY,03/24/2019,74,82.4,6.8,-58.16,13.87
73,Myitkyina,0,MM,03/24/2019,87,59.88,25.38,97.4,1.92
74,Tual,36,ID,03/24/2019,98,84.09,-5.67,132.75,9.08
75,Bredasdorp,80,ZA,03/24/2019,88,62.6,-34.53,20.04,3.36
76,Lagoa,0,PT,03/24/2019,72,60.8,37.14,-8.45,8.05
77,Gold Coast,88,AU,03/24/2019,65,87.01,-28.0,153.41,11.41
78,Paamiut,76,GL,03/24/2019,82,36.21,61.99,-49.67,40.85
79,Rikitea,20,PF,03/24/2019,97,79.77,-23.12,-134.97,13.67
80,Puerto Ayora,20,EC,03/24/2019,74,82.4,-0.74,-90.35,8.05
81,El Dorado,0,VE,03/24/2019,37,85.17,6.71,-61.64,4.61
82,Fairbanks,40,US,03/24/2019,42,53.01,64.84,-147.72,2.71
83,Kendari,8,ID,03/24/2019,96,78.6,-3.99,122.52,3.94
84,Darnah,68,LY,03/24/2019,100,59.7,32.77,22.64,28.66
85,Hobart,20,AU,03/24/2019,53,59.0,-42.88,147.33,25.28
86,Sakaiminato,75,JP,03/24/2019,66,50.0,35.55,133.23,5.82
87,Pearl Lagoon,20,NI,03/24/2019,74,80.6,12.34,-83.67,4.7
88,Hamilton,75,BM,03/24/2019,59,60.8,32.3,-64.78,6.93
89,Saskylakh,64,RU,03/24/2019,70,-10.33,71.97,114.09,3.27
90,Hithadhoo,88,MV,03/24/2019,100,83.28,-0.6,73.08,8.19
91,Jatai,24,IN,03/24/2019,56,63.57,28.97,76.18,7.74
92,Tiksi,44,RU,03/24/2019,61,-7.72,71.64,128.87,3.94
93,Baghdad,0,IQ,03/24/2019,72,64.4,33.3,44.38,21.92
94,Provideniya,90,RU,03/24/2019,97,32.0,64.42,-173.23,13.42
95,Luxeuil-les-Bains,0,FR,03/24/2019,86,42.8,47.82,6.38,4.7
96,Saint George,0,GR,03/24/2019,86,46.4,39.45,22.34,4.7
97,Wanaka,92,NZ,03/24/2019,97,60.51,-44.7,169.14,2.71
98,Pangody,80,RU,03/24/2019,88,25.05,65.85,74.49,14.9
99,Airai,8,TL,03/24/2019,77,77.25,-8.93,125.41,2.15
100,Vaini,0,IN,03/24/2019,88,67.08,15.34,74.49,1.7
101,Port Augusta,0,AU,03/24/2019,67,62.01,-32.49,137.76,5.82
102,Denpasar,75,ID,03/24/2019,94,77.0,-8.65,115.22,1.12
103,Saint-Philippe,90,CA,03/24/2019,74,35.6,45.36,-73.48,9.17
104,Pitkyaranta,88,RU,03/24/2019,86,28.74,61.57,31.48,10.42
105,Zhangjiakou,0,CN,03/24/2019,56,28.65,40.77,114.88,4.16
106,Dikson,88,RU,03/24/2019,93,24.24,73.51,80.55,35.14
107,Bonthe,44,SL,03/24/2019,82,80.76,7.53,-12.5,4.05
108,Mahebourg,75,MU,03/24/2019,78,82.4,-20.41,57.7,11.41
109,Novikovo,0,UA,03/24/2019,100,29.55,45.05,34.56,3.94
110,Hay River,40,CA,03/24/2019,45,48.2,60.82,-115.79,11.41
111,Derzhavinsk,68,KZ,03/24/2019,85,26.31,51.1,66.31,5.61
112,Galle,1,US,03/24/2019,51,82.99,29.74,-97.91,9.17
113,Sao Joao da Barra,0,BR,03/24/2019,83,75.2,-21.64,-41.05,10.09
114,Tirumullaivasal,0,IN,03/24/2019,91,77.16,11.24,79.84,2.15
115,Avarua,88,CK,03/24/2019,89,84.2,-21.21,-159.78,11.41
116,La Ronge,20,CA,03/24/2019,45,26.6,55.1,-105.3,6.93
117,Marawi,88,PH,03/24/2019,86,70.77,8.0,124.29,2.59
118,Kingsport,75,US,03/24/2019,31,64.4,36.55,-82.56,10.29
119,Maceio,20,BR,03/24/2019,78,80.6,-9.67,-35.74,5.82
120,Phetchaburi,64,TH,03/24/2019,100,78.33,13.1,99.94,9.19
121,Zhigansk,0,RU,03/24/2019,71,-2.14,66.77,123.37,6.17
122,Dunedin,76,NZ,03/24/2019,94,62.01,-45.87,170.5,9.75
123,Butaritari,76,KI,03/24/2019,100,83.1,3.07,172.79,8.75
124,Candolim,0,IN,03/24/2019,100,73.11,15.52,73.76,3.6
125,Beaupre,40,CA,03/24/2019,69,32.0,47.04,-70.9,6.93
126,Banda Aceh,68,ID,03/24/2019,98,75.45,5.56,95.32,1.7
127,Saint Anthony,90,US,03/24/2019,86,39.99,43.97,-111.68,14.99
128,Upernavik,0,GL,03/24/2019,100,-0.61,72.79,-56.15,26.87
129,Ohaeawai,56,NZ,03/24/2019,90,66.0,-35.35,173.88,7.0
130,Kungurtug,64,RU,03/24/2019,69,8.31,50.6,97.53,3.38
131,Codrington,56,AU,03/24/2019,55,87.01,-28.95,153.24,10.29
132,Palma del Rio,0,ES,03/24/2019,76,55.99,37.7,-5.28,6.93
133,Sur,0,OM,03/24/2019,100,71.4,22.57,59.53,12.1
134,Lexington Park,1,US,03/24/2019,71,60.01,38.26,-76.45,8.05
135,Sitka,0,US,03/24/2019,54,61.0,37.17,-99.65,8.01
136,Khatanga,68,RU,03/24/2019,80,6.24,71.98,102.47,10.87
137,Juruti,0,BR,03/24/2019,75,81.39,-2.16,-56.09,3.04
138,Shache,24,CN,03/24/2019,75,35.67,38.42,77.24,3.6
139,Castro,0,CL,03/24/2019,76,53.6,-42.48,-73.76,5.82
140,Vokhma,76,RU,03/24/2019,92,30.09,58.93,46.76,7.85
141,Buin,0,CL,03/24/2019,33,77.0,-33.73,-70.74,3.36
142,Kapaa,75,US,03/24/2019,78,77.0,22.08,-159.32,13.87
143,Zamora,0,ES,03/24/2019,59,53.6,41.51,-5.74,14.99
144,Megion,75,RU,03/24/2019,85,24.8,61.04,76.11,2.24
145,Stromness,90,CA,03/24/2019,86,48.0,42.87,-79.55,9.17
146,Manacapuru,0,BR,03/24/2019,94,77.0,-3.3,-60.62,2.15
147,Acoua,0,YT,03/24/2019,94,80.6,-12.72,45.06,3.36
148,De-Kastri,48,RU,03/24/2019,96,20.73,51.48,140.77,6.06
149,Ahipara,76,NZ,03/24/2019,73,73.38,-35.17,173.16,10.98
150,Caxito,12,BR,03/24/2019,83,74.28,-22.65,-42.51,7.96
151,Ambon,0,FR,03/24/2019,86,43.0,47.55,-2.56,8.05
152,Coracao de Jesus,40,BR,03/24/2019,78,75.2,-16.69,-44.37,3.36
153,Dingle,0,PH,03/24/2019,63,79.77,11.0,122.67,11.99
154,Te Anau,92,NZ,03/24/2019,81,64.65,-45.41,167.72,10.54
155,Bandarbeyla,100,SO,03/24/2019,100,79.05,9.49,50.81,2.93
156,Nerchinskiy Zavod,0,RU,03/24/2019,35,11.19,51.31,119.61,9.86
157,Arraial do Cabo,24,BR,03/24/2019,90,79.05,-22.97,-42.02,9.98
158,Bouca,92,CF,03/24/2019,92,72.03,6.51,18.28,13.0
159,Bowen,92,AU,03/24/2019,88,87.01,-20.01,148.25,5.82
160,Victoria,90,BN,03/24/2019,88,80.6,5.28,115.24,2.24
161,Tuktoyaktuk,40,CA,03/24/2019,79,21.2,69.44,-133.03,8.05
162,Lamar,40,US,03/24/2019,27,64.4,38.09,-102.62,5.82
163,Kenai,90,US,03/24/2019,88,46.99,60.55,-151.26,9.17
164,Tasiilaq,92,GL,03/24/2019,73,23.0,65.61,-37.64,36.91
165,Bambous Virieux,75,MU,03/24/2019,78,82.4,-20.34,57.76,11.41
166,Tezu,0,IN,03/24/2019,73,52.23,27.93,96.16,1.92
167,Norman Wells,75,CA,03/24/2019,99,32.0,65.28,-126.83,4.7
168,Salalah,75,OM,03/24/2019,78,78.8,17.01,54.1,9.17
169,Hot Springs,40,US,03/24/2019,77,69.8,34.5,-93.06,5.82
170,Elizabeth City,1,US,03/24/2019,39,64.4,36.3,-76.22,11.41
171,Roald,90,NO,03/24/2019,93,37.4,62.58,6.12,20.8
172,Pevek,48,RU,03/24/2019,92,0.75,69.7,170.27,10.98
173,Nishihara,40,JP,03/24/2019,38,53.01,35.74,139.53,5.82
174,Udaipur,0,IN,03/24/2019,54,62.31,24.58,73.69,6.4
175,Borogontsy,64,RU,03/24/2019,75,7.05,62.67,131.17,5.39
176,Prainha,8,BR,03/24/2019,86,79.41,-1.8,-53.48,3.94
177,Pangai,90,TO,03/24/2019,61,82.4,-19.8,-174.35,12.75
178,Shelburne,75,CA,03/24/2019,74,45.0,44.08,-80.2,9.17
179,Tazovskiy,56,RU,03/24/2019,86,20.37,67.47,78.7,16.24
180,Tateyama,75,JP,03/24/2019,45,52.0,36.66,137.31,13.87
181,Quelimane,20,MZ,03/24/2019,88,77.0,-17.88,36.89,3.36
182,Waingapu,88,ID,03/24/2019,87,79.5,-9.65,120.26,7.96
183,Ponta do Sol,20,BR,03/24/2019,87,68.43,-20.63,-46.0,2.93
184,Manggar,0,ID,03/24/2019,97,80.13,-2.88,108.27,4.16
185,Chongqing,0,CN,03/24/2019,100,42.8,29.56,106.55,4.47
186,Belmonte,0,PT,03/24/2019,79,43.0,40.36,-7.35,5.39
187,Aklavik,40,CA,03/24/2019,50,33.8,68.22,-135.01,2.24
188,Qaqortoq,48,GL,03/24/2019,55,33.8,60.72,-46.03,35.57
189,East London,44,ZA,03/24/2019,100,72.66,-33.02,27.91,17.81
190,Skelleftea,0,SE,03/24/2019,68,28.4,64.75,20.95,12.75
191,Kholodnyy,36,RU,03/24/2019,80,5.61,62.72,147.95,3.71
192,Sao Paulo do Potengi,20,BR,03/24/2019,83,82.4,-5.89,-35.76,5.82
193,Eau Claire,90,US,03/24/2019,60,45.0,44.81,-91.5,8.05
194,Taoudenni,56,ML,03/24/2019,34,70.32,22.68,-3.98,2.59
195,Mikhaylovka,8,RU,03/24/2019,91,24.78,52.96,103.29,5.5
196,Belaya Gora,64,RU,03/24/2019,88,-0.7,68.54,146.19,5.06
197,Singaparna,68,ID,03/24/2019,92,68.61,-7.35,108.11,1.92
198,Zemetchino,76,RU,03/24/2019,96,28.29,53.5,42.62,8.63
199,Cumberland,1,US,03/24/2019,29,53.6,41.97,-71.43,8.05
200,Isangel,75,VU,03/24/2019,70,84.2,-19.55,169.27,9.17
201,Cascais,0,PT,03/24/2019,55,62.01,38.7,-9.42,9.17
202,Thompson,40,CA,03/24/2019,29,23.0,55.74,-97.86,10.29
203,Cabo San Lucas,5,MX,03/24/2019,30,81.0,22.89,-109.91,3.36
204,Iberia,8,PE,03/24/2019,86,78.33,-11.41,-69.49,2.59
205,Jardim,0,BR,03/24/2019,65,77.7,-21.48,-56.15,7.96
206,Kavieng,64,PG,03/24/2019,100,84.0,-2.57,150.8,8.3
207,Duncan,1,US,03/24/2019,46,73.99,34.5,-97.96,10.29
208,Katsuura,75,JP,03/24/2019,70,48.2,33.93,134.5,6.93
209,San Quintin,0,PH,03/24/2019,57,74.1,17.54,120.52,4.16
210,Port Hardy,20,CA,03/24/2019,71,50.0,50.7,-127.42,5.82
211,Moron,0,VE,03/24/2019,75,72.48,10.49,-68.2,3.27
212,Kiama,0,AU,03/24/2019,53,78.01,-34.67,150.86,17.22
213,Itoman,75,JP,03/24/2019,56,69.8,26.12,127.67,11.41
214,Ortigueira,0,ES,03/24/2019,71,55.99,43.68,-7.85,3.36
215,Atuona,44,PF,03/24/2019,100,82.38,-9.8,-139.03,16.46
216,Antonina,75,BR,03/24/2019,88,72.0,-25.43,-48.71,4.7
217,Sisimiut,92,GL,03/24/2019,86,12.18,66.94,-53.67,4.16
218,Luganville,88,VU,03/24/2019,100,81.03,-15.51,167.18,14.12
219,Chokurdakh,20,RU,03/24/2019,82,-5.11,70.62,147.9,4.83
220,Hailar,0,CN,03/24/2019,36,19.74,49.2,119.7,19.04
221,Sierra Vista,1,US,03/24/2019,12,73.99,31.55,-110.3,5.17
222,Ornskoldsvik,64,SE,03/24/2019,58,28.4,63.29,18.72,11.41
223,San Rafael,20,AR,03/24/2019,31,57.45,-34.61,-68.33,5.95
224,Terrak,24,NO,03/24/2019,82,33.8,65.09,12.37,4.7
225,Lorengau,68,PG,03/24/2019,99,82.47,-2.02,147.27,8.97
226,Nata,0,CY,03/24/2019,100,53.6,34.78,32.57,13.87
227,Eenhana,56,NA,03/24/2019,47,78.8,-17.48,16.34,5.82
228,Whitehorse,20,CA,03/24/2019,26,48.99,60.72,-135.06,9.17
229,Bonavista,0,CA,03/24/2019,87,33.01,48.65,-53.11,18.01
230,Mao,40,DO,03/24/2019,57,80.6,19.55,-71.08,11.41
231,Strezhevoy,75,RU,03/24/2019,85,24.8,60.73,77.6,2.24
232,Souillac,75,FR,03/24/2019,70,50.0,45.6,-0.6,6.93
233,Englehart,1,CA,03/24/2019,30,26.6,47.82,-79.87,10.29
234,Chegdomyn,80,RU,03/24/2019,50,14.88,51.13,133.04,3.38
235,Esperance,20,TT,03/24/2019,65,82.4,10.24,-61.45,13.87
236,Narsaq,92,GL,03/24/2019,55,33.8,60.91,-46.05,35.57
237,Hami,0,CN,03/24/2019,49,32.07,42.84,93.51,5.28
238,Tabuk,0,PH,03/24/2019,63,69.78,17.41,121.44,2.04
239,Saint-Pierre,0,FR,03/24/2019,83,41.0,48.95,4.24,10.29
240,Geraldton,5,CA,03/24/2019,21,24.8,49.72,-86.95,10.29
241,Sangod,0,IN,03/24/2019,72,65.01,24.93,76.29,2.04
242,Hun,0,BE,03/24/2019,69,42.8,50.34,4.87,5.82
243,Meulaboh,20,ID,03/24/2019,100,76.98,4.14,96.13,4.27
244,Rawson,0,AR,03/24/2019,65,52.5,-43.3,-65.11,8.19
245,Teeli,12,RU,03/24/2019,63,6.78,51.01,90.2,3.94
246,Cayenne,90,GF,03/24/2019,78,78.8,4.94,-52.33,8.05
247,Chernoyerkovskaya,0,RU,03/24/2019,91,32.0,45.43,37.76,8.95
248,Iqaluit,90,CA,03/24/2019,77,3.2,63.75,-68.52,6.93
249,Danville,1,US,03/24/2019,30,68.0,36.59,-79.4,8.05
250,Motygino,92,RU,03/24/2019,81,24.51,58.18,94.69,4.38
251,Lovington,1,US,03/24/2019,9,77.0,32.94,-103.35,10.29
252,Santiago,0,CL,03/24/2019,33,77.0,-33.44,-70.65,3.36
253,Puerto Escondido,40,MX,03/24/2019,70,84.2,15.86,-97.07,9.17
254,San Juan de los Morros,0,VE,03/24/2019,59,71.67,9.91,-67.35,2.15
255,Sao Filipe,0,CV,03/24/2019,100,69.15,14.9,-24.5,10.2
256,Barcelos,0,PT,03/24/2019,76,64.99,41.53,-8.62,2.24
257,Dordrecht,40,NL,03/24/2019,87,48.0,51.8,4.68,10.29
258,Southbridge,1,US,03/24/2019,29,53.6,42.08,-72.03,12.75
259,Atikokan,0,CA,03/24/2019,38,27.12,48.76,-91.62,4.27
260,Zhanaozen,76,KZ,03/24/2019,90,43.14,43.35,52.85,9.19
261,Porto Tolle,0,IT,03/24/2019,81,53.01,44.95,12.32,9.17
262,Sept-Iles,5,CA,03/24/2019,33,14.0,50.2,-66.38,6.93
263,Nanortalik,88,GL,03/24/2019,94,31.26,60.14,-45.24,39.73
264,Antropovo,0,RU,03/24/2019,87,32.0,55.25,37.65,8.95
265,Cape Town,0,ZA,03/24/2019,88,66.99,-33.93,18.42,16.11
266,Yining,56,CN,03/24/2019,98,46.02,29.04,114.56,1.03
267,Zhezkazgan,44,KZ,03/24/2019,83,23.61,47.8,67.71,3.15
268,Clyde River,75,CA,03/24/2019,83,-14.81,70.47,-68.59,33.33
269,Pangnirtung,76,CA,03/24/2019,70,15.6,66.15,-65.72,30.89
270,Tashtyp,88,RU,03/24/2019,91,32.7,52.8,89.89,5.61
271,Rio Gallegos,75,AR,03/24/2019,59,60.8,-51.62,-69.22,10.29
272,Illapel,0,CL,03/24/2019,91,58.44,-31.63,-71.17,3.15
273,Kadyy,88,RU,03/24/2019,94,31.8,57.79,43.19,7.4
274,Usinsk,20,RU,03/24/2019,88,30.54,66.0,57.56,12.88
275,Baiyin,0,CN,03/24/2019,33,30.2,36.55,104.13,6.71
276,Usogorsk,88,RU,03/24/2019,85,32.7,63.43,48.71,7.74
277,Olinda,75,EC,03/24/2019,74,84.2,-2.03,-79.75,8.05
278,Gizo,75,IL,03/24/2019,76,51.8,31.8,34.94,12.75
279,Eureka,1,US,03/24/2019,66,64.0,40.8,-124.16,5.82
280,Celestun,0,MX,03/24/2019,96,77.43,20.87,-90.4,21.39
281,Baltasi,88,RU,03/24/2019,95,30.9,56.34,50.21,6.96
282,Salvador,40,BR,03/24/2019,79,84.2,-12.98,-38.48,3.36
283,Mpulungu,24,ZM,03/24/2019,94,58.71,-8.77,31.12,3.6
284,Haines Junction,0,CA,03/24/2019,51,40.08,60.75,-137.51,3.27
285,Saint-Georges,36,CA,03/24/2019,87,28.99,46.12,-70.67,1.01
286,Hammerfest,90,NO,03/24/2019,54,28.4,70.66,23.68,28.86
287,Port Keats,44,AU,03/24/2019,88,86.61,-14.25,129.55,13.89
288,Guerrero Negro,12,MX,03/24/2019,50,69.15,27.97,-114.04,13.11
289,Teterow,75,DE,03/24/2019,71,41.0,53.77,12.58,4.7
290,Durban,0,FR,03/24/2019,71,51.8,43.54,0.58,9.17
291,Srednekolymsk,20,RU,03/24/2019,71,0.93,67.46,153.71,3.49
292,Chicama,75,PE,03/24/2019,83,71.6,-7.84,-79.15,9.17
293,Poltavka,48,RU,03/24/2019,62,11.82,54.36,71.76,4.61
294,Emba,0,CY,03/24/2019,100,53.6,34.81,32.42,13.87
295,Kumluca,0,TR,03/24/2019,71,21.9,36.37,30.29,1.81
296,Omboue,76,GA,03/24/2019,100,82.11,-1.57,9.26,8.52
297,Kahului,75,US,03/24/2019,54,82.4,20.89,-156.47,21.92
298,Kupang,20,ID,03/24/2019,94,77.0,-10.16,123.6,2.24
299,Gigmoto,36,PH,03/24/2019,100,77.88,13.78,124.39,11.21
300,Seoul,90,KR,03/24/2019,69,39.2,37.57,126.98,1.12
301,Okhotsk,24,RU,03/24/2019,75,24.51,59.36,143.24,4.83
302,Monrovia,20,LR,03/24/2019,94,78.8,6.33,-10.8,6.62
303,Candelaria,75,CO,03/24/2019,69,77.0,3.41,-76.35,4.7
304,Tura,0,IN,03/24/2019,79,60.24,25.52,90.21,2.37
305,Grindavik,0,IS,03/24/2019,100,34.0,63.84,-22.43,12.75
306,Asuncion,40,PY,03/24/2019,69,78.8,-25.3,-57.63,5.82
307,Aksha,20,RU,03/24/2019,30,18.3,50.28,113.29,8.41
308,Yeppoon,76,AU,03/24/2019,69,82.4,-23.13,150.74,5.82
309,Mikkeli,0,FI,03/24/2019,79,28.4,61.69,27.27,2.24
310,Emerald,8,AU,03/24/2019,83,81.0,-23.53,148.16,6.93
311,Svetlogorsk,20,RU,03/24/2019,92,24.8,53.14,59.15,4.47
312,Inhambane,20,MZ,03/24/2019,100,72.48,-23.87,35.38,5.95
313,Jasa Tomic,0,RS,03/24/2019,64,46.99,45.45,20.86,3.36
314,Mudgee,90,AU,03/24/2019,100,64.4,-32.6,149.59,6.93
315,Fallon,90,US,03/24/2019,86,37.4,46.84,-105.12,14.99
316,Longyearbyen,40,NO,03/24/2019,72,12.2,78.22,15.63,11.41
317,Jutiquile,40,HN,03/24/2019,51,86.0,14.74,-86.1,2.24
318,Whyalla,48,AU,03/24/2019,67,60.8,-33.04,137.58,5.82
319,Laiyang,0,CN,03/24/2019,59,54.0,36.98,120.7,10.87
320,Charters Towers,20,AU,03/24/2019,84,80.67,-20.07,146.27,8.52
321,Eyl,100,SO,03/24/2019,100,77.97,7.98,49.82,5.73
322,Kaitangata,68,NZ,03/24/2019,79,71.58,-46.28,169.85,3.83
323,Husavik,0,CA,03/24/2019,38,30.0,50.56,-96.99,5.01
324,Honavar,0,IN,03/24/2019,100,74.91,14.28,74.45,3.27
325,Kruisfontein,80,ZA,03/24/2019,91,66.0,-34.0,24.73,12.44
326,Listvyanka,44,RU,03/24/2019,100,28.0,51.86,104.86,4.47
327,Ciamis,64,ID,03/24/2019,96,72.75,-7.33,108.35,1.59
328,Vila Franca do Campo,20,PT,03/24/2019,82,57.2,37.72,-25.43,6.93
329,Seydi,20,NE,03/24/2019,18,79.32,13.34,7.75,12.66
330,Bilibino,8,RU,03/24/2019,62,8.22,68.06,166.44,6.85
331,Barra Patuca,8,HN,03/24/2019,81,81.3,15.8,-84.28,9.75
332,Kangasala,0,FI,03/24/2019,92,28.99,61.46,24.07,4.72
333,Chabahar,0,IR,03/24/2019,99,71.13,25.29,60.65,5.95
334,Aksay,0,RU,03/24/2019,80,39.2,47.27,39.86,11.18
335,Faanui,12,PF,03/24/2019,97,85.8,-16.48,-151.75,13.44
336,Magadan,0,RU,03/24/2019,98,21.09,59.56,150.8,7.63
337,Shumikha,20,RU,03/24/2019,70,22.53,55.23,63.28,9.19
338,Hobyo,68,SO,03/24/2019,89,78.24,5.35,48.53,7.85
339,Bacabal,92,BR,03/24/2019,98,73.11,-4.23,-44.78,4.38
340,Raigarh,0,IN,03/24/2019,67,60.87,21.9,83.39,2.71
341,Ismailia,0,EG,03/24/2019,74,54.57,30.6,32.27,14.56
342,Araouane,92,ML,03/24/2019,30,82.74,18.9,-3.53,3.6
343,Desbiens,5,CA,03/24/2019,37,19.99,48.42,-71.95,3.36
344,Mahibadhoo,88,MV,03/24/2019,100,83.82,3.78,72.97,11.43
345,Sayyan,0,YE,03/24/2019,79,46.11,15.17,44.32,1.48
346,Verkhnevilyuysk,0,RU,03/24/2019,64,3.18,63.45,120.31,4.16
347,Ko Samui,40,TH,03/24/2019,89,84.2,9.54,99.94,6.96
348,Chapais,1,CA,03/24/2019,35,8.6,49.78,-74.86,9.17
349,Kieta,12,PG,03/24/2019,97,82.47,-6.22,155.63,4.72
350,Buala,92,SB,03/24/2019,81,85.8,-8.15,159.59,5.17
351,Dudinka,88,RU,03/24/2019,88,18.57,69.41,86.18,16.58
352,Yanam,0,IN,03/24/2019,88,75.54,16.73,82.22,2.15
353,Gerash,36,IR,03/24/2019,85,50.52,27.67,54.14,3.04
354,Nabire,12,ID,03/24/2019,84,75.72,-3.36,135.5,1.25
355,Shieli,8,KZ,03/24/2019,84,39.45,44.18,66.74,2.71
